,request_rate,avg_response_time,throughput,queue_length,cpu_utilization,latency,request_rate_rolling,throughput_rolling,cpu_utilization_rolling,latency_rolling
count,299.0,301.0,299.0,299.0,299.0,299.0,290.0,290.0,290.0,290.0
mean,49.94425863991081,150.7797099309334,49.3288740245262,0.0,30.718320327015977,53.719063545150505,49.99425287356322,49.36505747126437,30.784214559386964,53.78793103448276
std,0.6825946233533896,22.943392932621652,3.1603874214016203,0.0,3.940404666180208,6.457790791677368,0.06930698057275586,1.4164754252326741,2.1951893990882057,3.6180933795345784
min,41.0,100.62,41.0,0.0,23.916666666666657,50.0,49.1,46.3,27.00833333333332,50.0
25%,50.0,133.62,47.0,0.0,27.80555555555555,50.0,50.0,48.108333333333334,29.063194444444445,50.0
50%,50.0,148.9,49.333333333333336,0.0,29.75,50.0,50.0,49.36666666666666,30.58888888888888,53.5
75%,50.0,165.0,51.666666666666664,0.0,32.68055555555554,57.0,50.0,50.525,32.40555555555555,56.075
max,50.0,229.82,57.666666666666664,0.0,47.27777777777777,81.66666666666667,50.0,53.233333333333334,35.858333333333334,65.6
